time,pres
2022-07-30 00:00:00,1022.1
2022-07-30 01:00:00,1021.0
2022-07-30 02:00:00,1021.0
2022-07-30 03:00:00,1021.9
2022-07-30 04:00:00,1021.0
2022-07-30 05:00:00,1021.0
2022-07-30 06:00:00,1021.0
2022-07-30 07:00:00,1021.0
2022-07-30 08:00:00,1020.0
2022-07-30 09:00:00,1020.0
2022-07-30 10:00:00,1020.0
2022-07-30 11:00:00,1019.0
2022-07-30 12:00:00,1019.0
2022-07-30 13:00:00,1019.0
2022-07-30 14:00:00,1018.0
2022-07-30 15:00:00,1017.6
2022-07-30 16:00:00,1017.0
2022-07-30 17:00:00,1018.0
2022-07-30 18:00:00,1017.7
2022-07-30 19:00:00,1018.0
2022-07-30 20:00:00,1018.0
2022-07-30 21:00:00,1018.2
2022-07-30 22:00:00,1018.0
2022-07-30 23:00:00,1018.0
