time,temp
2022-07-30 00:00:00,16.3
2022-07-30 01:00:00,15.7
2022-07-30 02:00:00,15.1
2022-07-30 03:00:00,14.7
2022-07-30 04:00:00,14.6
2022-07-30 05:00:00,15.4
2022-07-30 06:00:00,18.8
2022-07-30 07:00:00,19.6
2022-07-30 08:00:00,21.8
2022-07-30 09:00:00,24.0
2022-07-30 10:00:00,25.9
2022-07-30 11:00:00,27.3
2022-07-30 12:00:00,28.2
2022-07-30 13:00:00,29.0
2022-07-30 14:00:00,29.3
2022-07-30 15:00:00,29.4
2022-07-30 16:00:00,29.6
2022-07-30 17:00:00,28.5
2022-07-30 18:00:00,25.6
2022-07-30 19:00:00,25.0
2022-07-30 20:00:00,23.3
2022-07-30 21:00:00,21.6
2022-07-30 22:00:00,20.2
2022-07-30 23:00:00,19.2
